,CLIENT_IP
192.168.107.41,628439
192.168.107.133,498471
192.168.107.244,225715
192.168.107.51,117192
192.168.107.151,113510
192.168.107.2,103546
192.168.107.226,70348
192.168.107.84,67986
192.168.107.44,66734
192.168.107.236,63356
